model,language,hypothesis,effect_mean,ci_low,ci_high,p_raw,p_holm,n_subjects,permutation_count,bootstrap_count
nllb,EN,H1_semantic_ffn_preference,-0.009912943969849083,-0.012806933810225336,-0.007014916212897384,1.0,1.0,31,10000,10000
nllb,EN,H2_auditory_attention_preference,-0.00265669628021721,-0.005286847406920376,0.00012557092013121832,0.9658034196580342,1.0,31,10000,10000
nllb,FR,H1_semantic_ffn_preference,-0.005509651518128174,-0.008251533596549586,-0.002672758157877357,0.9997000299970003,1.0,28,10000,10000
nllb,FR,H2_auditory_attention_preference,0.00018874356003721225,-0.0022255237042654594,0.002624522810765495,0.4383561643835616,1.0,28,10000,10000
nllb,ZH,H1_semantic_ffn_preference,-0.009730912622071939,-0.012494234826190689,-0.006923152948496298,1.0,1.0,35,10000,10000
nllb,ZH,H2_auditory_attention_preference,0.004847933063084919,0.0026150959746558105,0.006997666149822618,0.0004999500049995,0.004999500049995,35,10000,10000
xlmr,EN,H1_semantic_ffn_preference,-0.008993449938640673,-0.011618325839187739,-0.006189180024254639,1.0,1.0,31,10000,10000
xlmr,EN,H2_auditory_attention_preference,0.006587603169522214,0.004336487192580411,0.008846502367464142,9.999000099990002e-05,0.0011998800119988001,31,10000,10000
xlmr,FR,H1_semantic_ffn_preference,-0.00631056370644797,-0.009004957728278385,-0.0037459648939366006,1.0,1.0,28,10000,10000
xlmr,FR,H2_auditory_attention_preference,0.003799879232528194,0.001719290453507556,0.0059641643074715605,0.0007999200079992001,0.007199280071992801,28,10000,10000
xlmr,ZH,H1_semantic_ffn_preference,-0.009205459751103531,-0.010902416083886358,-0.007525262623606302,1.0,1.0,35,10000,10000
xlmr,ZH,H2_auditory_attention_preference,0.0073015384216896006,0.004607232919761201,0.009983590577967261,0.00019998000199980003,0.0021997800219978004,35,10000,10000
