model,language,roi_family,representative_block,representative_state,roi,shared_mean_z,specific_mean_z,delta_z_mean
nllb,EN,AUDITORY,10,OUTPUT,Heschl,0.11770374995028313,0.06624488198006144,0.051458867970221686
nllb,EN,AUDITORY,10,OUTPUT,pSTG,0.15861940936204819,0.07884503316581448,0.0797743761962337
nllb,EN,SEMANTIC,8,ATTN,AG,0.11437891545205253,0.03428607503201114,0.08009284042004139
nllb,EN,SEMANTIC,8,ATTN,IFGtri,0.11776331828500777,0.03661633878928798,0.08114697949571979
nllb,FR,AUDITORY,10,OUTPUT,Heschl,0.10974111595890766,0.05130515931460452,0.05843595664430314
nllb,FR,AUDITORY,10,OUTPUT,pSTG,0.1553434400178037,0.06656765791276084,0.08877578210504286
nllb,FR,SEMANTIC,11,OUTPUT,AG,0.09540599831335003,0.030451485384480333,0.0649545129288697
nllb,FR,SEMANTIC,11,OUTPUT,IFGtri,0.10411272612612313,0.029935832884739604,0.07417689324138352
nllb,ZH,AUDITORY,10,POST_ATTN,Heschl,0.052127393255417855,0.021253277831145598,0.030874115424272257
nllb,ZH,AUDITORY,10,POST_ATTN,pSTG,0.13943246431713568,0.07040283763230137,0.06902962668483431
nllb,ZH,SEMANTIC,9,ATTN,AG,0.07860966077571714,0.03911779224117105,0.039491868534546094
nllb,ZH,SEMANTIC,9,ATTN,IFGtri,0.10130157611955816,0.041470345710055576,0.059831230409502584
xlmr,EN,AUDITORY,9,POST_ATTN,Heschl,0.1234738568881247,0.032860875527747815,0.09061298136037689
xlmr,EN,AUDITORY,9,POST_ATTN,pSTG,0.16313562305146748,0.06182059340822165,0.10131502964324582
xlmr,EN,SEMANTIC,9,POST_ATTN,AG,0.1160936927820656,0.03990358706113687,0.07619010572092874
xlmr,EN,SEMANTIC,9,POST_ATTN,IFGtri,0.11992111158946114,0.046032874314608715,0.07388823727485243
xlmr,FR,AUDITORY,7,POST_ATTN,Heschl,0.12525902054222715,0.048845037117834895,0.07641398342439226
xlmr,FR,AUDITORY,7,POST_ATTN,pSTG,0.16706011980857272,0.04998652755936159,0.11707359224921113
xlmr,FR,SEMANTIC,8,ATTN,AG,0.0780597144423254,0.019473692088370936,0.058586022353954464
xlmr,FR,SEMANTIC,8,ATTN,IFGtri,0.09970593343580221,0.01814431490287543,0.08156161853292679
xlmr,ZH,AUDITORY,8,ATTN,Heschl,0.04845510053106998,0.021892929616746444,0.026562170914323537
xlmr,ZH,AUDITORY,8,ATTN,pSTG,0.143908628505737,0.07447725755003591,0.06943137095570108
xlmr,ZH,SEMANTIC,8,ATTN,AG,0.07208376676857402,0.02291601227215722,0.0491677544964168
xlmr,ZH,SEMANTIC,8,ATTN,IFGtri,0.09081826820082498,0.03840392197143991,0.05241434622938507
