model,language,roi_family,condition,class,positive_mass,content_bias
nllb,EN,SEMANTIC,SHARED,CONTENT,32.51968272064055,0.7540039298237189
nllb,EN,SEMANTIC,SHARED,EDGE,5.141653076865158,0.7540039298237189
nllb,EN,SEMANTIC,SHARED,FUNCTION,4.284296299138985,0.7540039298237189
nllb,EN,SEMANTIC,SHARED,PUNCT,1.1836957945818618,0.7540039298237189
nllb,FR,SEMANTIC,SHARED,CONTENT,27.86223239994846,0.7331862992201876
nllb,FR,SEMANTIC,SHARED,EDGE,5.468267214117409,0.7331862992201876
nllb,FR,SEMANTIC,SHARED,FUNCTION,4.6710730143132455,0.7331862992201876
nllb,ZH,AUDITORY,SHARED,CONTENT,31.81800341216416,0.5557024386727379
nllb,ZH,AUDITORY,SHARED,EDGE,9.885010360292851,0.5557024386727379
nllb,ZH,AUDITORY,SHARED,FUNCTION,13.53782506908753,0.5557024386727379
nllb,ZH,AUDITORY,SHARED,PUNCT,2.0164290735640567,0.5557024386727379
nllb,ZH,SEMANTIC,SHARED,CONTENT,43.480155809090625,0.5733405389442938
nllb,ZH,SEMANTIC,SHARED,EDGE,11.443801442534369,0.5733405389442938
nllb,ZH,SEMANTIC,SHARED,FUNCTION,18.563721630458115,0.5733405389442938
nllb,ZH,SEMANTIC,SHARED,PUNCT,2.3488490724057116,0.5733405389442938
xlmr,EN,AUDITORY,SHARED,CONTENT,60.96419853314564,0.6887079890190188
xlmr,EN,AUDITORY,SHARED,EDGE,15.336784083419815,0.6887079890190188
xlmr,EN,AUDITORY,SHARED,FUNCTION,9.317591077129588,0.6887079890190188
xlmr,EN,AUDITORY,SHARED,PUNCT,2.901088492860641,0.6887079890190188
xlmr,EN,SEMANTIC,SHARED,CONTENT,46.89947583819982,0.7046337295633515
xlmr,EN,SEMANTIC,SHARED,EDGE,9.818506663352453,0.7046337295633515
xlmr,EN,SEMANTIC,SHARED,FUNCTION,7.4113893789045635,0.7046337295633515
xlmr,EN,SEMANTIC,SHARED,PUNCT,2.4292867112381193,0.7046337295633515
xlmr,FR,AUDITORY,SHARED,CONTENT,44.216700477774644,0.6882736087501011
xlmr,FR,AUDITORY,SHARED,EDGE,10.362870474618617,0.6882736087501011
xlmr,FR,AUDITORY,SHARED,FUNCTION,9.663340464872592,0.6882736087501011
xlmr,FR,SEMANTIC,SHARED,CONTENT,53.137799797622584,0.7079668277084756
xlmr,FR,SEMANTIC,SHARED,EDGE,9.553283147235605,0.7079668277084756
xlmr,FR,SEMANTIC,SHARED,FUNCTION,12.365823279996036,0.7079668277084756
xlmr,ZH,AUDITORY,SHARED,CONTENT,48.45820928503718,0.5261889189244591
xlmr,ZH,AUDITORY,SHARED,EDGE,13.801856947848691,0.5261889189244591
xlmr,ZH,AUDITORY,SHARED,FUNCTION,26.997600527783284,0.5261889189244591
xlmr,ZH,AUDITORY,SHARED,PUNCT,2.8351302219939303,0.5261889189244591
xlmr,ZH,SEMANTIC,SHARED,CONTENT,38.693337237653836,0.5314932802663703
xlmr,ZH,SEMANTIC,SHARED,EDGE,9.760675116864258,0.5314932802663703
xlmr,ZH,SEMANTIC,SHARED,FUNCTION,21.818621840153984,0.5314932802663703
xlmr,ZH,SEMANTIC,SHARED,PUNCT,2.5285444359622797,0.5314932802663703
